Assembly	scaffolds
# contigs (>= 0 bp)	95
# contigs (>= 1000 bp)	53
# contigs (>= 5000 bp)	44
# contigs (>= 10000 bp)	36
# contigs (>= 25000 bp)	31
# contigs (>= 50000 bp)	22
Total length (>= 0 bp)	3587562
Total length (>= 1000 bp)	3572967
Total length (>= 5000 bp)	3555292
Total length (>= 10000 bp)	3493068
Total length (>= 25000 bp)	3412252
Total length (>= 50000 bp)	3061045
# contigs	62
Largest contig	404170
Total length	3579453
GC (%)	67.25
N50	145788
N90	43530
auN	163460.9
L50	9
L90	26
# N's per 100 kbp	16.76
