QUERY_ID	COG_ID	CDD_ID	EVALUE	IDENTITY	GENE_NAME	COG_NAME	COG_LETTER	COG_DESCRIPTION
KKOIIGHA_00001	COG4974	443999	9.55e-56	29.236	XerD	Site-specific tyrosine recombinase XerD	L	Replication, recombination and repair
KKOIIGHA_00004	COG2977	442216	8.63e-58	47.573	EntD	4'-phosphopantetheinyl transferase EntD (siderophore biosynthesis)	Q	Secondary metabolites biosynthesis, transport and catabolism
KKOIIGHA_00005	COG2931	442175	0.000107	23.445		Ca2+-binding protein, RTX toxin-related	Q	Secondary metabolites biosynthesis, transport and catabolism
KKOIIGHA_00006	COG1873	441477	0.000367	36.207	YlmC	Sporulation protein YlmC, YlmC/YmxH family, contains PRC-barrel domain	R	General function prediction only
KKOIIGHA_00007	COG1984	441587	5.43e-123	48.097	PxpC	5-oxoprolinase subunit C/Allophanate hydrolase subunit 2	E	Amino acid transport and metabolism
KKOIIGHA_00008	COG2049	441652	8.99e-100	46.696	PxpB	5-oxoprolinase subunit B/Allophanate hydrolase subunit 1	E	Amino acid transport and metabolism
KKOIIGHA_00009	COG1540	441149	6.54e-141	55.602	PxpA	5-oxoprolinase subunit A	E	Amino acid transport and metabolism
KKOIIGHA_00010	COG3565	442786	4.2e-88	64.748		Predicted dioxygenase of extradiol dioxygenase family	R	General function prediction only
KKOIIGHA_00011	COG1028	440651	4.85e-90	46.032	FabG	NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family	I	Lipid transport and metabolism
KKOIIGHA_00012	COG1028	440651	3.07e-81	46.245	FabG	NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family	I	Lipid transport and metabolism
KKOIIGHA_00013	COG2271	441872	5.21e-37	21.851	UhpC	Sugar phosphate permease	G	Carbohydrate transport and metabolism
KKOIIGHA_00014	COG0726	440490	7.26e-34	37.5	PgaB	Peptidoglycan/xylan/chitin deacetylase, PgdA/NodB/CDA1 family	G	Carbohydrate transport and metabolism
KKOIIGHA_00015	COG1802	441407	4.85e-27	28.767	GntR	DNA-binding transcriptional regulator, GntR family	K	Transcription
KKOIIGHA_00016	COG1953	441556	1.87e-80	27.823	FUI1	Cytosine/uracil/thiamine/allantoin permease	F	Nucleotide transport and metabolism
KKOIIGHA_00017	COG0154	439924	4.59e-117	34.812	GatA	Asp-tRNAAsn/Glu-tRNAGln amidotransferase A subunit or related amidase	J	Translation, ribosomal structure and biogenesis
KKOIIGHA_00019	COG0523	440289	5.88e-103	35.976	YejR	Zinc metallochaperone YeiR/ZagA and related GTPases, G3E family	R	General function prediction only
