"","locus_tag","ftype","length_bp","gene","EC_number","COG","product","KO_ID"
"1","KKOIIGHA_00004","CDS",741,"","","","hypothetical protein","K02362"
"2","KKOIIGHA_00007","CDS",942,"pxpC","3.5.2.9","COG1984","5-oxoprolinase subunit C","K23124"
"3","KKOIIGHA_00008","CDS",714,"pxpB","3.5.2.9","COG2049","5-oxoprolinase subunit B","K23123"
"4","KKOIIGHA_00009","CDS",753,"pxpA3","3.5.2.9","","5-oxoprolinase subunit A 3","K07160"
"5","KKOIIGHA_00010","CDS",438,"","","","hypothetical protein","K06991"
"6","KKOIIGHA_00011","CDS",741,"fabG_1","1.1.1.100","COG1028","3-oxoacyl-[acyl-carrier-protein] reductase FabG","K00059"
"7","KKOIIGHA_00012","CDS",789,"gdh_1","1.1.1.47","COG1028","Glucose 1-dehydrogenase","K00059"
"8","KKOIIGHA_00014","CDS",882,"pgdA","3.5.1.-","","Peptidoglycan deacetylase","K22278"
"9","KKOIIGHA_00016","CDS",1518,"hyuP","","","Hydantoin permease","K03457"
"10","KKOIIGHA_00017","CDS",1356,"cnbH","3.5.99.5","","2-amino-5-chloromuconic acid deaminase","K02433"
"11","KKOIIGHA_00020","CDS",1224,"","","","hypothetical protein","K02055"
"12","KKOIIGHA_00021","CDS",867,"purU_1","3.5.1.10","COG0788","Formyltetrahydrofolate deformylase","K01433"
"13","KKOIIGHA_00022","CDS",645,"","","","hypothetical protein","K00305"
"14","KKOIIGHA_00023","CDS",3051,"soxA","1.5.3.24","","Sarcosine oxidase subunit alpha","K00302"
"15","KKOIIGHA_00024","CDS",393,"","","","hypothetical protein","K00304"
"16","KKOIIGHA_00025","CDS",1251,"soxB","1.5.3.24","","Sarcosine oxidase subunit beta","K00303"
"17","KKOIIGHA_00026","CDS",1305,"glyA_1","2.1.2.1","COG0112","Serine hydroxymethyltransferase","K00600"
"18","KKOIIGHA_00029","CDS",756,"crnA","3.5.2.10","","Creatinine amidohydrolase","K01470"
"19","KKOIIGHA_00031","CDS",1209,"","3.5.3.3","","Creatinase","K08688"
"20","KKOIIGHA_00033","CDS",879,"","","","hypothetical protein","K24180"
"21","KKOIIGHA_00037","CDS",630,"rhtB_1","","COG1280","Homoserine/homoserine lactone efflux protein","K05834"
"22","KKOIIGHA_00038","CDS",216,"rpmE","","COG0254","Large ribosomal subunit protein bL31","K02909"
"23","KKOIIGHA_00039","CDS",2244,"priA","5.6.2.4","","Replication restart protein PriA","K04066"
"24","KKOIIGHA_00040","CDS",1686,"argS","6.1.1.19","","Arginine--tRNA ligase","K01887"
